review_id,source,candidate,core_semantics_preserved_0_1,entities_numbers_preserved_0_1,negation_modality_preserved_0_1,event_roles_preserved_0_1,no_added_or_missing_facts_0_1,natural_readable_0_1,overall_valid_0_1,notes
13,Robert E. Gates. Flip passed away. A person passed away something. Flip passed away leaving Cindy Thompson. Cindy Thompson passed away something.,"The person named Robert E. Gates. Flip passed away. A person passed away something. The death of Flip occurred, which left Cindy Thompson behind. Cindy Thompson passed away something.",,,,,,,,
14,"Echo was released in 2008. Someone cast something in Echo. Cast a role in the horror movie. A role was cast in ""Echo"" (2008). Cast a role in the horror movie ""Echo"".","Echo was released in 2008. Someone cast something in Echo. Cast a role in the horror movie. In ""Echo"" (2008), a role was given to someone. A role was assigned in the horror movie ""Echo"".",,,,,,,,
15,QVC is aggressive to an extent. QVC plans something for Black Friday aggressively. Tell QVC something about Black Friday. QVC's aggressive something. QVC plans something for Black Friday.,There is a degree to which QVC is aggressive. QVC plans something for Black Friday aggressively. Tell QVC something about Black Friday. QVC engages in aggressive behavior of some kind. QVC plans something for Black Friday.,,,,,,,,
16,Middletown Township Public Library appointed Kim Rinaldi as something. The library appointed Kim Rinaldi as a director. Appoint the library as the appointee of the appointment of Kim Rinaldi by the Township of Middletown. Appoint the library as the appointee of the appointment of Kim Rinaldi by the Township of Middletown. The library appointed Kim Rinaldi as something.,Kim Rinaldi was appointed by the Middletown Township Public Library to a certain role. The library appointed Kim Rinaldi as a director. Appoint the library as the appointee of the appointment of Kim Rinaldi by the Township of Middletown. The appointment of Kim Rinaldi by the Township of Middletown was made with the library as its appointee. The library appointed Kim Rinaldi as something.,,,,,,,,
17,Council Bluffs Marshalltown built a nine-run lead. Give the team a win against Council Bluffs. Give the team a win. A win was built against Council Bluffs. Council Bluffs is very great.,Council Bluffs Marshalltown built a nine-run lead. Give the team a win against Council Bluffs. Secure a victory for the team. Council Bluffs was the opponent against whom a win was secured. Council Bluffs is very great.,,,,,,,,
18,Order two military helicopters for the UAE. Order two military helicopters. Order two military helicopters. The UAE ordered two military helicopters recently. The UAE ordered two military helicopters from an entity.,Order two military helicopters for the UAE. A procurement action for two military helicopters should be executed. Order two military helicopters. The UAE ordered two military helicopters recently. An entity was the recipient of an order for two military helicopters placed by the UAE.,,,,,,,,
19,Keep the conversation serious. New England is vast in extent. Something left New England to something. Something left New England. Something left New England to a location.,The conversation should be kept serious. The extent of New England is vast. Something left New England to something. Something left New England. Something left New England to a location.,,,,,,,,
20,Order two military helicopters for the UAE. Order two military helicopters. Order two military helicopters. The UAE ordered two military helicopters recently. The UAE ordered two military helicopters from an entity.,Order two military helicopters for the UAE. Procure a pair of military helicopters. Acquire two military helicopters. The UAE ordered two military helicopters recently. The UAE ordered two military helicopters from an entity.,,,,,,,,
21,A person missed something. You missed the ICYMI abbreviation's definition. Define ICYMI. Define the abbreviation ICYMI. Define the ICYMI abbreviation now.,There was something that an individual failed to catch. You missed the ICYMI abbreviation's definition. What does ICYMI stand for? Define the abbreviation ICYMI. Define the ICYMI abbreviation now.,,,,,,,,
22,The conference held something. Show an attendee a session about SocialDevCamp Chicago at the conference. The conference held an event named SocialDevCamp Chicago. SocialDevCamp Chicago held an event in 2024. SocialDevCamp Chicago held an event in 2024.,There was something organized by the conference. Show an attendee a session about SocialDevCamp Chicago at the conference. SocialDevCamp Chicago was the name of an event that the conference organized. SocialDevCamp Chicago held an event in 2024. SocialDevCamp Chicago held an event in 2024.,,,,,,,,
23,A person missed something. You missed the ICYMI abbreviation's definition. Define ICYMI. Define the abbreviation ICYMI. Define the ICYMI abbreviation now.,A person missed something. You missed the ICYMI abbreviation's definition. Define ICYMI. Give the meaning that the abbreviation ICYMI has. State what ICYMI stands for at this moment.,,,,,,,,
24,"Echo was released in 2008. Someone cast something in Echo. Cast a role in the horror movie. A role was cast in ""Echo"" (2008). Cast a role in the horror movie ""Echo"".","Echo was released in 2008. In Echo, a thing was thrown by someone. A role in the horror movie got cast. A role was cast in ""Echo"" (2008). Cast a role in the horror movie ""Echo"".",,,,,,,,
25,The report states something. Make your report detailed. The report states the World Health Organization. The report states something. The report states the World Health Organization.,Something is stated by the report. Make your report detailed. The report states the World Health Organization. The report makes a statement. The report states the World Health Organization.,,,,,,,,
26,A 2-to-2 ratio of something is defined as a concept. The concept of NASCAR is defined as something. The concept of NASCAR is defined as something at a time. Define a concept as something. The concept of NASCAR is defined as something.,"A 2-to-2 ratio of something is defined as a concept. The concept of NASCAR is defined as something. At a time, NASCAR is defined as something. Something is defined as a concept. The concept of NASCAR is defined as something.",,,,,,,,
27,"Someone gave Washington a presentation. Give someone a presentation. A presentation was given to Washington, D.C. Someone gave Washington a presentation. Give a presentation about Washington, D.C. to Washington.","Someone gave Washington a presentation. Give someone a presentation. Washington, D.C. received a presentation. Someone gave Washington a presentation. Washington, D.C. was the topic of a presentation delivered to Washington.",,,,,,,,
28,Order two military helicopters for the UAE. Order two military helicopters. Order two military helicopters. The UAE ordered two military helicopters recently. The UAE ordered two military helicopters from an entity.,"The UAE is to receive two military helicopters, which were ordered. Order two military helicopters. Order two military helicopters. The UAE ordered two military helicopters recently. An entity was ordered to supply two military helicopters to the UAE.",,,,,,,,
29,Jeff Deardorff has arrived at a location. Jeff Deardorff arrived at a location. Imagine a day arriving. Jeff Deardorff arrived at a location. Jeff Deardorff arrived at a location.,Jeff Deardorff reached a certain place. Jeff Deardorff arrived at a location. A day is being imagined as it comes. Jeff Deardorff arrived at a location. Jeff Deardorff arrived at a location.,,,,,,,,
30,Tell the jury the acquittal. Tell the jury the acquittal. Tell the jury the acquittal. Tell the jury the acquittal of the widow about the nightclub. Tell the jury the acquittal of the widow about the Pulse nightclub.,The acquittal should be communicated to the jury. Inform the jury of the acquittal. Tell the jury the acquittal. Tell the jury the acquittal of the widow about the nightclub. Tell the jury the acquittal of the widow about the Pulse nightclub.,,,,,,,,
31,Bus Bob Krause died. Bus Bob Krause's death was reported to someone. The death of Bus Bob Krause was reported to someone recently. Bus Bob Krause's death was reported recently to someone. Make something good.,"Bus Bob Krause died. Bus Bob Krause's death was reported to someone. Someone was recently told about the death of Bus Bob Krause. Recently, someone received a report that Bus Bob Krause had died. Make something good.",,,,,,,,
32,The topic about Barack Obama is something. Ask a lawmaker about the topic of Barack Obama in Washington. Ask a lawmaker about the advice that Barack Obama gave on Washington. Ask a lawmaker about Barack Obama. Ask about Barack Obama.,The topic about Barack Obama is something. Ask a lawmaker about the topic of Barack Obama in Washington. Ask a lawmaker about the advice that Barack Obama gave on Washington. Could a member of Congress be questioned regarding Barack Obama? Can you provide information on Barack Obama?,,,,,,,,
33,The home was sold to New York in 2023. New York was sold in 2023. New York was sold to the home. New York was sold in 2023. New York sold the home in 2023.,"The home was sold to New York in 2023. In 2023, New York was sold. The home was bought by New York. New York was sold in 2023. New York sold the home in 2023.",,,,,,,,
34,Define the concept of graciousness. Define graciousness as a national attribute. A nation defines graciousness. Mr Lim Siong Guan defines graciousness. Mr Lim Siong Guan defines something at a location.,Define the concept of graciousness. A national attribute is what graciousness should be defined as. A nation defines graciousness. Graciousness is defined by Mr Lim Siong Guan. Mr Lim Siong Guan defines something at a location.,,,,,,,,
35,Malala Yousafzai is brilliant in academics. Malala Yousafzai describes something. Brilliant Malala Yousafzai. Malala Yousafzai describes something in 2024. Someone describes Malala Yousafzai to a community.,"Academically, Malala Yousafzai shows brilliance. Malala Yousafzai describes something. Brilliant Malala Yousafzai. In 2024, there is something described by Malala Yousafzai. Someone describes Malala Yousafzai to a community.",,,,,,,,
36,A person missed something. You missed the ICYMI abbreviation's definition. Define ICYMI. Define the abbreviation ICYMI. Define the ICYMI abbreviation now.,A person missed something. You missed the ICYMI abbreviation's definition. Could you tell me what ICYMI stands for? Define the abbreviation ICYMI. I need the meaning of the abbreviation ICYMI right away.,,,,,,,,
37,Shut down your service. Shut down Allo. A company shut down something. Google shut down something in a service. Shut down your service.,Shut down your service. Allo was discontinued. A company shut down something. The service experienced a shutdown initiated by Google. Shut down your service.,,,,,,,,
38,Robert E. Gates. Flip passed away. A person passed away something. Flip passed away leaving Cindy Thompson. Cindy Thompson passed away something.,Robert E. Gates. Flip passed away. There was a passing of a person at some point. Flip passed away leaving Cindy Thompson. The passing of Cindy Thompson occurred at some point.,,,,,,,,
39,QVC is aggressive to an extent. QVC plans something for Black Friday aggressively. Tell QVC something about Black Friday. QVC's aggressive something. QVC plans something for Black Friday.,QVC's aggressiveness is limited. QVC is planning something aggressively for Black Friday. Tell QVC something about Black Friday. QVC's aggressive something. QVC plans something for Black Friday.,,,,,,,,
40,Someone gave DERA funding to a company. Give DERA funding to help reauthorize the program at the U.S. Environmental Protection Agency. Someone gave DERA funding to a company. DERA funding was given to a company recently. Someone gave DERA funding to a company.,"Someone gave DERA funding to a company. The program at the U.S. Environmental Protection Agency should be reauthorized with funding provided by DERA. Someone gave DERA funding to a company. Recently, a company received funding from DERA. Someone gave DERA funding to a company.",,,,,,,,
41,BlackRock Inc. operates globally. Define BlackRock Inc. as something. Define BlackRock Inc. BlackRock Inc. operates something. BlackRock Inc. is something about BlackRock Inc.,BlackRock Inc. operates globally. Let BlackRock Inc. be defined as something. Define BlackRock Inc. BlackRock Inc. operates something. BlackRock Inc. is something about BlackRock Inc.,,,,,,,,
42,Tell the jury the acquittal. Tell the jury the acquittal. Tell the jury the acquittal. Tell the jury the acquittal of the widow about the nightclub. Tell the jury the acquittal of the widow about the Pulse nightclub.,Inform the jury of the acquittal. Tell the jury the acquittal. The acquittal should be communicated to the jury. Tell the jury the acquittal of the widow about the nightclub. Tell the jury the acquittal of the widow about the Pulse nightclub.,,,,,,,,
43,Someone holds WebMD Health Corp. for something. WebMD Health Corp. is important for something. WebMD Health Corp. was held in 2015. WebMD Health Corp. is important for something. WebMD Health Corp. is important for something.,"WebMD Health Corp. is held by someone. WebMD Health Corp. is important for something. In 2015, WebMD Health Corp. was held. WebMD Health Corp. is important for something. WebMD Health Corp. is important for something.",,,,,,,,
44,Malala Yousafzai is brilliant in academics. Malala Yousafzai describes something. Brilliant Malala Yousafzai. Malala Yousafzai describes something in 2024. Someone describes Malala Yousafzai to a community.,"Malala Yousafzai is brilliant in academics. Malala Yousafzai describes something. Brilliant Malala Yousafzai. In 2024, something is described by Malala Yousafzai. A community receives a description of Malala Yousafzai.",,,,,,,,
45,Make the report transparent. The organization earned something. Prasar Bharti earned something at some time. The organization earned something. Prasar Bharti earned only something.,Transparency should be made part of the report. The organization was the one that got something. Prasar Bharti earned something at some time. The organization earned something. Prasar Bharti earned only something.,,,,,,,,
46,Middletown Township Public Library appointed Kim Rinaldi as something. The library appointed Kim Rinaldi as a director. Appoint the library as the appointee of the appointment of Kim Rinaldi by the Township of Middletown. Appoint the library as the appointee of the appointment of Kim Rinaldi by the Township of Middletown. The library appointed Kim Rinaldi as something.,Middletown Township Public Library appointed Kim Rinaldi as something. Kim Rinaldi was named director by the library. Appoint the library as the appointee of the appointment of Kim Rinaldi by the Township of Middletown. Appoint the library as the appointee of the appointment of Kim Rinaldi by the Township of Middletown. Something was what the library named Kim Rinaldi.,,,,,,,,
47,The report states something. Make your report detailed. The report states the World Health Organization. The report states something. The report states the World Health Organization.,"The report makes a statement. Make your report detailed. According to the report, the World Health Organization is mentioned. The report states something. The report states the World Health Organization.",,,,,,,,
48,Someone gave DERA funding to a company. Give DERA funding to help reauthorize the program at the U.S. Environmental Protection Agency. Someone gave DERA funding to a company. DERA funding was given to a company recently. Someone gave DERA funding to a company.,"A company received funding from DERA, given by someone. Give DERA funding to help reauthorize the program at the U.S. Environmental Protection Agency. Funding for a company was provided by DERA, courtesy of someone. DERA funding was given to a company recently. Someone gave DERA funding to a company.",,,,,,,,
49,Marketers define something. Marketers define Apple. Marketers define the Apple brand as something. Define the Apple brand as a marketer. A marketer defines Apple as a brand.,"Marketers define something. Marketers define Apple. Something is what marketers define the Apple brand as. Define the Apple brand as a marketer. As a brand, Apple is what a marketer defines.",,,,,,,,
50,The topic about Barack Obama is something. Ask a lawmaker about the topic of Barack Obama in Washington. Ask a lawmaker about the advice that Barack Obama gave on Washington. Ask a lawmaker about Barack Obama. Ask about Barack Obama.,"Barack Obama is a subject that is discussed. In Washington, a lawmaker can be questioned about Barack Obama. Ask a lawmaker about the advice that Barack Obama gave on Washington. Ask a lawmaker about Barack Obama. Ask about Barack Obama.",,,,,,,,
51,"Travis Scott hollered in a location. In 2018, Travis Scott hollered. Travis Scott hollered something. In 2018, Travis Scott hollered something. A person hollered something.","A yell was emitted by Travis Scott in a location. In 2018, Travis Scott hollered. Something was hollered by Travis Scott. In 2018, Travis Scott hollered something. A person hollered something.",,,,,,,,
52,Robert E. Gates. Flip passed away. A person passed away something. Flip passed away leaving Cindy Thompson. Cindy Thompson passed away something.,Robert E. Gates. Flip has passed on. A person passed away something. Flip passed away leaving Cindy Thompson. Cindy Thompson met her end at some point.,,,,,,,,
53,"Travis Scott hollered in a location. In 2018, Travis Scott hollered. Travis Scott hollered something. In 2018, Travis Scott hollered something. A person hollered something.","A holler was emitted by Travis Scott at some place. The year 2018 saw Travis Scott let out a holler. Travis Scott hollered something. In 2018, Travis Scott hollered something. A person hollered something.",,,,,,,,
54,A 2-to-2 ratio of something is defined as a concept. The concept of NASCAR is defined as something. The concept of NASCAR is defined as something at a time. Define a concept as something. The concept of NASCAR is defined as something.,A 2-to-2 ratio of something is defined as a concept. A concept is what the term NASCAR denotes. The concept of NASCAR is defined as something at a time. Something is to be defined as a concept. The concept of NASCAR is defined as something.,,,,,,,,
55,Someone holds WebMD Health Corp. for something. WebMD Health Corp. is important for something. WebMD Health Corp. was held in 2015. WebMD Health Corp. is important for something. WebMD Health Corp. is important for something.,Someone holds WebMD Health Corp. for something. There exists some purpose for which WebMD Health Corp. is significant. WebMD Health Corp. was held in 2015. WebMD Health Corp. serves a certain important role. WebMD Health Corp. is important for something.,,,,,,,,
56,Something defines Mario. Mario defined something. Mario defined something at a location. Something defines Mario. Mario defined something new.,Something defines Mario. Mario defined something. Mario made an identification of something in a particular spot. Something defines Mario. Mario came up with a novel concept.,,,,,,,,
57,Define the concept of graciousness. Define graciousness as a national attribute. A nation defines graciousness. Mr Lim Siong Guan defines graciousness. Mr Lim Siong Guan defines something at a location.,"Define the concept of graciousness. A national attribute is what graciousness is defined as. A nation defines graciousness. Mr Lim Siong Guan defines graciousness. At a location, Mr Lim Siong Guan defines something.",,,,,,,,
58,Josh Rosen is hot. Josh Rosen threw something. Josh Rosen threw something in 2015. You throw something. Throw a pass.,Josh Rosen is hot. Josh Rosen made a throw of some object. Josh Rosen threw something in 2015. You throw something. Execute a pass.,,,,,,,,
59,The topic about Barack Obama is something. Ask a lawmaker about the topic of Barack Obama in Washington. Ask a lawmaker about the advice that Barack Obama gave on Washington. Ask a lawmaker about Barack Obama. Ask about Barack Obama.,Barack Obama is the subject of something. Ask a lawmaker about the topic of Barack Obama in Washington. Ask a lawmaker about the advice that Barack Obama gave on Washington. A lawmaker should be asked about Barack Obama. Ask about Barack Obama.,,,,,,,,
60,The home was sold to New York in 2023. New York was sold in 2023. New York was sold to the home. New York was sold in 2023. New York sold the home in 2023.,The home was sold to New York in 2023. New York was sold in 2023. The home was purchased by New York. New York was sold in 2023. The home's sale was completed by New York in 2023.,,,,,,,,
61,Shut down your service. Shut down Allo. A company shut down something. Google shut down something in a service. Shut down your service.,Your service is being shut down. Shut down Allo. Something was shut down by a company. Google shut down something in a service. Shut down your service.,,,,,,,,
62,Make the report transparent. The organization earned something. Prasar Bharti earned something at some time. The organization earned something. Prasar Bharti earned only something.,Make the report transparent. Something was earned by the organization. Prasar Bharti earned something at some time. There was something that the organization earned. Prasar Bharti earned only something.,,,,,,,,
63,Josh Rosen is hot. Josh Rosen threw something. Josh Rosen threw something in 2015. You throw something. Throw a pass.,"Josh Rosen possesses attractiveness. Josh Rosen threw something. In 2015, a throw was made by Josh Rosen. You throw something. Throw a pass.",,,,,,,,
64,The conference held something. Show an attendee a session about SocialDevCamp Chicago at the conference. The conference held an event named SocialDevCamp Chicago. SocialDevCamp Chicago held an event in 2024. SocialDevCamp Chicago held an event in 2024.,"The conference held something. An attendee was shown a session about SocialDevCamp Chicago at the conference. The conference held an event named SocialDevCamp Chicago. In 2024, an event was held by SocialDevCamp Chicago. SocialDevCamp Chicago held an event in 2024.",,,,,,,,
65,"Tell a person a story about something to Alice. Tell a person a story about a city. Alice, whose age is something, is a person. Tell a person a story about a city. Tell a person a story about New York City to Alice.",Tell a person a story about something to Alice. A story about a city should be told to a person. A person is someone whose age is unspecified. Tell a person a story about a city. Tell a person a story about New York City to Alice.,,,,,,,,
66,Shut down your service. Shut down Allo. A company shut down something. Google shut down something in a service. Shut down your service.,Your service needs to be shut down. Shut down Allo. A company caused something to be closed down. Google shut down something in a service. Shut down your service.,,,,,,,,
67,Council Bluffs Marshalltown built a nine-run lead. Give the team a win against Council Bluffs. Give the team a win. A win was built against Council Bluffs. Council Bluffs is very great.,"Council Bluffs Marshalltown built a nine-run lead. Give the team a win against Council Bluffs. The team should be given a victory. Council Bluffs was defeated, resulting in a win. Council Bluffs is very great.",,,,,,,,
68,Council Bluffs Marshalltown built a nine-run lead. Give the team a win against Council Bluffs. Give the team a win. A win was built against Council Bluffs. Council Bluffs is very great.,A nine-run lead was built by Council Bluffs Marshalltown. Give the team a win against Council Bluffs. Give the team a win. A win was built against Council Bluffs. Very great is Council Bluffs.,,,,,,,,
69,The conference held something. Show an attendee a session about SocialDevCamp Chicago at the conference. The conference held an event named SocialDevCamp Chicago. SocialDevCamp Chicago held an event in 2024. SocialDevCamp Chicago held an event in 2024.,Something was held by the conference. Show an attendee a session about SocialDevCamp Chicago at the conference. SocialDevCamp Chicago was an event that the conference held. SocialDevCamp Chicago held an event in 2024. SocialDevCamp Chicago held an event in 2024.,,,,,,,,
70,The report states something. Make your report detailed. The report states the World Health Organization. The report states something. The report states the World Health Organization.,The report states something. Make your report detailed. The World Health Organization is mentioned in the report. The report states something. The World Health Organization is what the report mentions.,,,,,,,,
71,Something defines Mario. Mario defined something. Mario defined something at a location. Something defines Mario. Mario defined something new.,Something defines Mario. Mario defined something. Mario defined something at a location. Mario is defined by something. A novel concept was introduced by Mario.,,,,,,,,
72,Something defines Mario. Mario defined something. Mario defined something at a location. Something defines Mario. Mario defined something new.,Something is what Mario is defined by. Mario was the one who defined something. Mario defined something at a location. Something defines Mario. Mario defined something new.,,,,,,,,
73,Define the concept of graciousness. Define graciousness as a national attribute. A nation defines graciousness. Mr Lim Siong Guan defines graciousness. Mr Lim Siong Guan defines something at a location.,The meaning of graciousness should be defined. Define graciousness as a national attribute. Graciousness is what a nation defines. Mr Lim Siong Guan defines graciousness. Mr Lim Siong Guan defines something at a location.,,,,,,,,
74,"Echo was released in 2008. Someone cast something in Echo. Cast a role in the horror movie. A role was cast in ""Echo"" (2008). Cast a role in the horror movie ""Echo"".","It was in 2008 that Echo came out. Someone cast something in Echo. A role in the horror movie was cast. A role was cast in ""Echo"" (2008). Cast a role in the horror movie ""Echo"".",,,,,,,,
75,Bus Bob Krause died. Bus Bob Krause's death was reported to someone. The death of Bus Bob Krause was reported to someone recently. Bus Bob Krause's death was reported recently to someone. Make something good.,The death of Bus Bob Krause occurred. Bus Bob Krause's death was reported to someone. The death of Bus Bob Krause was reported to someone recently. Bus Bob Krause's death was reported recently to someone. Create something good.,,,,,,,,
76,Keep the conversation serious. New England is vast in extent. Something left New England to something. Something left New England. Something left New England to a location.,The conversation should be kept serious. New England is vast in extent. Something left New England to something. Something left New England. A location was departed from by something in New England.,,,,,,,,
77,"Someone gave Washington a presentation. Give someone a presentation. A presentation was given to Washington, D.C. Someone gave Washington a presentation. Give a presentation about Washington, D.C. to Washington.","Someone gave Washington a presentation. Give someone a presentation. Washington, D.C. was the recipient of a presentation. Someone gave Washington a presentation. A presentation concerning Washington, D.C. was delivered to Washington.",,,,,,,,
78,Keep the conversation serious. New England is vast in extent. Something left New England to something. Something left New England. Something left New England to a location.,Keep the conversation serious. New England is vast in extent. A departure from New England occurred for something. Something left New England. A location was the destination of something's departure from New England.,,,,,,,,
79,Tell the jury the acquittal. Tell the jury the acquittal. Tell the jury the acquittal. Tell the jury the acquittal of the widow about the nightclub. Tell the jury the acquittal of the widow about the Pulse nightclub.,Tell the jury the acquittal. Tell the jury the acquittal. Tell the jury the acquittal. The jury should be told that the widow was acquitted regarding the nightclub. The jury should be told that the widow was acquitted regarding the Pulse nightclub.,,,,,,,,
80,"Travis Scott hollered in a location. In 2018, Travis Scott hollered. Travis Scott hollered something. In 2018, Travis Scott hollered something. A person hollered something.",Travis Scott hollered in a location. A shout was let out by Travis Scott in 2018. Travis Scott hollered something. Something was hollered by Travis Scott in 2018. A person hollered something.,,,,,,,,
81,"Someone gave Washington a presentation. Give someone a presentation. A presentation was given to Washington, D.C. Someone gave Washington a presentation. Give a presentation about Washington, D.C. to Washington.","A presentation was given to Washington by someone. Deliver a presentation to someone. A presentation was given to Washington, D.C. Someone gave Washington a presentation. Give a presentation about Washington, D.C. to Washington.",,,,,,,,
82,Someone gave DERA funding to a company. Give DERA funding to help reauthorize the program at the U.S. Environmental Protection Agency. Someone gave DERA funding to a company. DERA funding was given to a company recently. Someone gave DERA funding to a company.,"Someone gave DERA funding to a company. Give DERA funding to help reauthorize the program at the U.S. Environmental Protection Agency. It was DERA that provided funding to a company, as someone did. DERA funding was given to a company recently. A company received funding from DERA, given by someone.",,,,,,,,
83,Marketers define something. Marketers define Apple. Marketers define the Apple brand as something. Define the Apple brand as a marketer. A marketer defines Apple as a brand.,Marketers define something. Marketers define Apple. The Apple brand is what marketers define as something. Define the Apple brand as a marketer. Apple is defined by a marketer as a brand.,,,,,,,,
84,Middletown Township Public Library appointed Kim Rinaldi as something. The library appointed Kim Rinaldi as a director. Appoint the library as the appointee of the appointment of Kim Rinaldi by the Township of Middletown. Appoint the library as the appointee of the appointment of Kim Rinaldi by the Township of Middletown. The library appointed Kim Rinaldi as something.,The library in Middletown Township had Kim Rinaldi named to a position by its board. The library appointed Kim Rinaldi as a director. Kim Rinaldi was made the appointee of the library through an appointment by Middletown Township. Appoint the library as the appointee of the appointment of Kim Rinaldi by the Township of Middletown. The library appointed Kim Rinaldi as something.,,,,,,,,
85,The home was sold to New York in 2023. New York was sold in 2023. New York was sold to the home. New York was sold in 2023. New York sold the home in 2023.,The sale of the home to New York occurred in 2023. New York was sold in 2023. New York was sold to the home. New York was sold in 2023. The home's sale by New York took place in 2023.,,,,,,,,
86,Marketers define something. Marketers define Apple. Marketers define the Apple brand as something. Define the Apple brand as a marketer. A marketer defines Apple as a brand.,"A definition is provided by marketers. Marketers define Apple. Marketers define the Apple brand as something. As a marketer, define the Apple brand. A marketer defines Apple as a brand.",,,,,,,,
87,"Tell a person a story about something to Alice. Tell a person a story about a city. Alice, whose age is something, is a person. Tell a person a story about a city. Tell a person a story about New York City to Alice.","Alice should be told a story by a person about something. Tell a person a story about a city. Alice, whose age is something, is a person. Tell a person a story about a city. Alice should be told a story by a person about New York City.",,,,,,,,
