review_id,budget_k,source_index,source,candidate,meaning_preserved_0_or_1,facts_preserved_0_or_1,readable_0_or_1,reviewer_notes
11,8,0,IBM Corporation launched a server. IBM Corporation. The cluster topic is about IBM Corporation. IBM Corporation is related to something. IBM Corporation.,"The launch of a server was undertaken by IBM Corporation, and the topic at hand concerns this very corporation.",0,1,1,Adds 'the topic at hand concerns this very corporation' which is a new proposition not present in the source.
12,16,24,Something defines Mario. Mario defined something. Mario defined something at a location. Something defines Mario. Mario defined something new.,"Mario was the one who defined something, and that something was defined by him at a particular place; additionally, the object of his definition was new.",0,0,1,"The source states 'Mario defined something' and 'Mario defined something at a location' and 'Mario defined something new' as separate propositions. The candidate combines them into a single claim that the defined thing was both at a location and new, but the source does not say the new thing was at the location. It also adds 'was the one who' which is not in the source, and the source has two instances of 'Something defines Mario' which are omitted entirely."
13,4,23,Asus's plan for the laptop's display drivers is something. Asus plans something at a location. Asus updates the laptop's display drivers at a location. Asus plans to update the display drivers. Asus's plan for the laptop's display drivers is something.,"At some location, Asus has a plan regarding the laptop's display drivers—it will update them there, and that plan is what the drivers' situation is about.",0,0,1,"The source states Asus 'plans to update' the drivers, but the candidate says 'has a plan regarding' and 'will update them there' — this changes the modality from a plan to a definite future action, and adds the claim that the update will happen 'there' (at the location), which is not explicitly stated in the source. The source's final clause 'Asus's plan for the laptop's display drivers is something' is vague, but the candidate's 'that plan is what the drivers' situation is about' introduces a new relation ('situation') not present in the source."
14,16,15,The conference held something. Show an attendee a session about SocialDevCamp Chicago at the conference. The conference held an event named SocialDevCamp Chicago. SocialDevCamp Chicago held an event in 2024. SocialDevCamp Chicago held an event in 2024.,"At the conference, there was a session for attendees on SocialDevCamp Chicago, and the conference also hosted an event called SocialDevCamp Chicago, which took place in 2024.",1,1,1,"All source propositions are preserved: conference had a session on SocialDevCamp Chicago, conference hosted an event named SocialDevCamp Chicago, and that event occurred in 2024. No new information added, roles and facts unchanged, and the sentence is natural."
15,16,26,The nice lots define something now. Define the topic of the nice lots to Builder. Builder defines the topic of the nice lots. Define the nice lots. Builder defines the nice lots.,"Something is now defined by the nice lots, and that something is their topic. Builder is tasked with defining that topic. Additionally, the nice lots themselves are to be defined, which Builder also handles.",1,1,1,"All source propositions are preserved: the nice lots define something (their topic), Builder defines that topic, and Builder defines the nice lots. No new information is added, and the phrasing is natural and coherent."
16,8,25,Council Bluffs Marshalltown built a nine-run lead. Give the team a win against Council Bluffs. Give the team a win. A win was built against Council Bluffs. Council Bluffs is very great.,"The team's win against Council Bluffs came after building a nine-run advantage. Council Bluffs Marshalltown built that lead. Council Bluffs is very great, and the win was built.",0,1,1,"Reorders clauses but adds 'came after' implying a causal sequence not in source; also 'the win was built' is awkward but not a new fact. However, the source says 'Council Bluffs Marshalltown built a nine-run lead' and 'Give the team a win' — candidate changes the imperative to a statement, losing the command/request meaning."
17,8,13,Occasional diarrhea affects someone. Someone experiences Occasional Diarrhea as a condition. Occasional diarrhea is a condition. Tell the doctor about your occasional diarrhea condition to the specialist. Tell the specialist about your occasional diarrhea condition.,"A person may be affected by occasional diarrhea, which is a recognized condition, and in such cases, the appropriate course of action is to inform both the doctor and the specialist about this recurring issue.",1,1,1,"All source propositions are preserved: occasional diarrhea affects a person, it is a condition, and the person should tell both doctor and specialist. No new information added, roles and modality unchanged."
18,8,1,Make the report transparent. The organization earned something. Prasar Bharti earned something at some time. The organization earned something. Prasar Bharti earned only something.,"The report must be made transparent, and it was at some point that Prasar Bharti achieved an earning, though the organization's gain was limited to that alone.",0,0,1,"The source states 'Prasar Bharti earned something' and 'earned only something' (i.e., earned only that thing, not more). The candidate says 'achieved an earning' and 'gain was limited to that alone' — this adds the claim that the earning was a single, specific event ('at some point') and implies a restriction that is not in the source. The source does not say 'only that alone' — it says 'earned only something' meaning the amount was small, not that it was the only earning. Also, the source does not specify 'at some point' as a temporal claim. The candidate introduces new propositions and changes the meaning."
19,16,8,Keep the conversation serious. New England is vast in extent. Something left New England to something. Something left New England. Something left New England to a location.,"A serious tone must be maintained throughout this discussion. The sheer size of New England is a key fact. From this region, something made its way to another place. Additionally, something else departed New England. Furthermore, a third entity left New England, heading toward some destination.",1,1,1,"All source propositions are preserved: serious tone, New England's vastness, one departure to a location, one departure without destination, and one departure to a destination. No new facts or contradictions."
20,16,21,Order two military helicopters for the UAE. Order two military helicopters. Order two military helicopters. The UAE ordered two military helicopters recently. The UAE ordered two military helicopters from an entity.,"A recent transaction has resulted in the acquisition of two military helicopters by the UAE, with the seller being an unspecified entity.",1,1,1,"All source propositions (UAE acquired two military helicopters, from an entity) are preserved without adding new information. The phrasing is natural and grammatical."
21,4,22,The topic about Barack Obama is something. Ask a lawmaker about the topic of Barack Obama in Washington. Ask a lawmaker about the advice that Barack Obama gave on Washington. Ask a lawmaker about Barack Obama. Ask about Barack Obama.,"What is the topic of Barack Obama? It is something, apparently. If you are in Washington, you could ask a lawmaker about this topic. You could also ask about the advice Obama gave, and you could ask about Obama himself. Those are three distinct askable things.",1,1,1,"All source propositions are preserved: the topic is 'something', one can ask a lawmaker in Washington about the topic, about the advice, and about Obama himself. No new propositions added."
22,1,16,BlackRock Inc. operates globally. Define BlackRock Inc. as something. Define BlackRock Inc. BlackRock Inc. operates something. BlackRock Inc. is something about BlackRock Inc.,"Operating on a global scale, BlackRock Inc. is a company that can be described as an asset management firm; its global operations are a key aspect of its identity, and its activities are centered around managing investments.",0,1,1,Adds 'asset management firm' and 'managing investments' which are not in the source; source only says 'operates globally' and 'is something about BlackRock Inc.'
23,1,22,The topic about Barack Obama is something. Ask a lawmaker about the topic of Barack Obama in Washington. Ask a lawmaker about the advice that Barack Obama gave on Washington. Ask a lawmaker about Barack Obama. Ask about Barack Obama.,"Barack Obama as a topic—what does that even mean? In Washington, any lawmaker can be asked about the topic that is Barack Obama. They can also be asked about the advice he gave, and about the man himself. There is a lot to ask about.",1,1,1,Preserves all source propositions and adds only rhetorical framing ('what does that even mean?') without changing meaning or facts. All askable items remain.
24,2,10,Tell the jury the acquittal. Tell the jury the acquittal. Tell the jury the acquittal. Tell the jury the acquittal of the widow about the nightclub. Tell the jury the acquittal of the widow about the Pulse nightclub.,"The jury must be told that the acquittal happened. It must be told about the widow and the nightclub, specifically the Pulse nightclub. This instruction is repeated, but the core message is the same: inform the jury of the acquittal.",0,1,1,"Adds 'must be told' and 'instruction is repeated' as new propositions, and omits the imperative repetition of 'tell the jury' which is part of the source's meaning."
25,1,5,Shut down your service. Shut down Allo. A company shut down something. Google shut down something in a service. Shut down your service.,"Your service needs to be taken offline, and that includes Allo. The company made the call to discontinue a component of its service, specifically the one tied to Google. You are instructed to shut it down.",0,0,1,"Adds 'specifically the one tied to Google' which is an unsupported claim, and changes 'shut down your service' to 'needs to be taken offline' (modality shift). Also adds 'the company made the call' which is new attribution."
26,4,16,BlackRock Inc. operates globally. Define BlackRock Inc. as something. Define BlackRock Inc. BlackRock Inc. operates something. BlackRock Inc. is something about BlackRock Inc.,"As a global operator, BlackRock Inc. is defined by its asset management role. The company's worldwide reach is fundamental to its operations, and its essence lies in managing financial assets across markets.",0,1,1,Adds 'asset management role' and 'managing financial assets' which are unsupported by the source; source is vague and does not specify the company's function.
27,16,2,Marketers define something. Marketers define Apple. Marketers define the Apple brand as something. Define the Apple brand as a marketer. A marketer defines Apple as a brand.,"When it comes to defining a brand, marketers have a specific framework in mind. That framework, when applied to Apple, yields a particular definition. In other words, the Apple brand is defined by marketers according to their professional criteria.",0,0,1,"Adds new propositions ('specific framework', 'professional criteria') and changes the source's simple definitional statements into an interpretive explanation, altering the original meaning and introducing unsupported claims."
28,2,7,"Someone gave Washington a presentation. Give someone a presentation. A presentation was given to Washington, D.C. Someone gave Washington a presentation. Give a presentation about Washington, D.C. to Washington.","A presentation was delivered to Washington, D.C., by an unnamed individual, and the same individual also provided a presentation to someone else, with the further action of giving a presentation about Washington, D.C., to Washington itself.",0,0,0,Adds 'unnamed individual' and 'same individual' which are not in source; also conflates 'someone' with 'someone else' and adds 'further action' not implied.
29,4,12,Malala Yousafzai is brilliant in academics. Malala Yousafzai describes something. Brilliant Malala Yousafzai. Malala Yousafzai describes something in 2024. Someone describes Malala Yousafzai to a community.,"Malala Yousafzai's academic excellence is a fact, and her act of describing something took place in 2024. Simultaneously, a community hears a description of Malala from another person.",0,1,1,"Adds 'academic excellence is a fact' (new proposition) and 'simultaneously' (new temporal relation), but keeps all original facts."
30,2,27,Someone gave DERA funding to a company. Give DERA funding to help reauthorize the program at the U.S. Environmental Protection Agency. Someone gave DERA funding to a company. DERA funding was given to a company recently. Someone gave DERA funding to a company.,"Funding for the company was provided by DERA, and the same source should be used to support reauthorization of the U.S. Environmental Protection Agency program. A recent transfer of DERA funds went to that company, and the program's renewal would benefit from a similar allocation.",0,0,1,"The source states 'Someone gave DERA funding to a company' (repeated) and 'DERA funding was given to a company recently.' The candidate adds a new proposition: 'the same source should be used to support reauthorization' — this is an unsupported recommendation not present in the source. Also, 'the program's renewal would benefit from a similar allocation' is a new claim. The source only states the fact of funding, not any recommendation or benefit."
31,8,7,"Someone gave Washington a presentation. Give someone a presentation. A presentation was given to Washington, D.C. Someone gave Washington a presentation. Give a presentation about Washington, D.C. to Washington.","Someone performed the act of presenting to Washington, D.C. That person also performed a presentation for someone else. And that person gave a presentation whose topic was Washington, D.C., to Washington.",1,1,1,"Preserves all source propositions and roles, no additions or contradictions, and is grammatically coherent, though slightly wordy."
32,4,1,Make the report transparent. The organization earned something. Prasar Bharti earned something at some time. The organization earned something. Prasar Bharti earned only something.,"The report must be made transparent, and it was at some point that Prasar Bharti achieved an earning, though the organization's gain was limited to that alone.",0,0,1,"The source states 'Prasar Bharti earned something' and 'earned only something' (i.e., earned only that thing, not more). The candidate says 'achieved an earning' and 'gain was limited to that alone' — this adds the claim that the earning was a single, specific event ('at some point') and implies a restriction that is not in the source. The source does not say 'only that alone' — it says 'earned only something' meaning the amount was small, not that it was the only earning. Also, the source does not specify 'at some point' as a temporal claim. The candidate introduces new propositions and changes the meaning."
33,4,11,QVC is aggressive to an extent. QVC plans something for Black Friday aggressively. Tell QVC something about Black Friday. QVC's aggressive something. QVC plans something for Black Friday.,"QVC is quite aggressive, and its Black Friday plans are especially so; tell QVC what you think about Black Friday, because QVC has aggressive plans for that day.",0,0,1,"Adds 'quite' and 'especially so' (new degree claims), and 'what you think about Black Friday' (new proposition not in source). Also changes 'tell QVC something' to 'tell QVC what you think' which is a different request."
34,1,1,Make the report transparent. The organization earned something. Prasar Bharti earned something at some time. The organization earned something. Prasar Bharti earned only something.,"The report must be made transparent, and it was at some point that Prasar Bharti achieved an earning, though the organization's gain was limited to that alone.",0,0,1,"The source states 'Prasar Bharti earned something' and 'earned only something' (i.e., earned only that thing, not more). The candidate says 'achieved an earning' and 'gain was limited to that alone' — this adds the claim that the earning was a single, specific event ('at some point') and implies a restriction that is not in the source. The source does not say 'only that alone' — it says 'earned only something' meaning the amount was small, not that it was the only earning. Also, the source does not specify 'at some point' as a temporal claim. The candidate introduces new propositions and changes the meaning."
35,2,14,Someone holds WebMD Health Corp. for something. WebMD Health Corp. is important for something. WebMD Health Corp. was held in 2015. WebMD Health Corp. is important for something. WebMD Health Corp. is important for something.,"There is someone who holds WebMD Health Corp. accountable for something. This company is significant in some way, and that significance was already established by 2015. Its importance is multifaceted, and it remains important for several reasons.",0,0,1,"Adds 'accountable' (not in source), and 'multifaceted' is an unsupported inference. Also 'significance was already established by 2015' changes the temporal relation (source says 'held in 2015', not 'importance established in 2015')."
36,16,22,The topic about Barack Obama is something. Ask a lawmaker about the topic of Barack Obama in Washington. Ask a lawmaker about the advice that Barack Obama gave on Washington. Ask a lawmaker about Barack Obama. Ask about Barack Obama.,"The subject of Barack Obama is evidently something worth discussing. In Washington, one can ask a lawmaker about that subject. One can also ask about the advice Obama gave on Washington, and one can ask about Obama as a person. The possibilities are multiple.",1,1,1,"All source propositions are retained: subject is 'something', ask lawmaker in Washington, ask about advice, ask about Obama. No new facts or omissions."
37,4,9,A person missed something. You missed the ICYMI abbreviation's definition. Define ICYMI. Define the abbreviation ICYMI. Define the ICYMI abbreviation now.,The definition of the abbreviation ICYMI is something you have failed to grasp; a person has missed it.,0,0,1,"The source explicitly asks to define ICYMI, but the candidate only states that the definition was missed, without providing the actual definition. It also reverses the roles: source says 'you missed the definition' and 'a person missed something', but candidate says 'the definition is something you have failed to grasp' — this adds a new proposition (that the definition is something graspable) and omits the required definition."
38,8,17,The home was sold to New York in 2023. New York was sold in 2023. New York was sold to the home. New York was sold in 2023. New York sold the home in 2023.,"New York became the owner of the home when the transaction was completed in 2023, and that same year witnessed the transfer of the property to the state.",0,0,1,"The source states 'New York sold the home in 2023' (New York is the seller), but the candidate says 'New York became the owner' and 'transfer of the property to the state' — reversing the roles and adding an unsupported claim that the state received the property."
39,4,4,The report states something. Make your report detailed. The report states the World Health Organization. The report states something. The report states the World Health Organization.,"The source material contains a declaration, and separately, it identifies the World Health Organization. For your report, you must elaborate on these details thoroughly.",0,1,1,"Adds 'declaration' (a synonym for statement, acceptable) but also adds 'For your report, you must elaborate on these details thoroughly' which is a new instruction not in the source. Also 'separately' implies a distinction not present in the source."
40,8,22,The topic about Barack Obama is something. Ask a lawmaker about the topic of Barack Obama in Washington. Ask a lawmaker about the advice that Barack Obama gave on Washington. Ask a lawmaker about Barack Obama. Ask about Barack Obama.,"The subject of Barack Obama is evidently something worth discussing. In Washington, one can ask a lawmaker about that subject. One can also ask about the advice Obama gave on Washington, and one can ask about Obama as a person. The possibilities are multiple.",1,1,1,"All source propositions are retained: subject is 'something', ask lawmaker in Washington, ask about advice, ask about Obama. No new facts or omissions."
41,1,7,"Someone gave Washington a presentation. Give someone a presentation. A presentation was given to Washington, D.C. Someone gave Washington a presentation. Give a presentation about Washington, D.C. to Washington.","A presentation was delivered to Washington, D.C., by an unnamed individual, and the same individual also provided a presentation to someone else, with the further action of giving a presentation about Washington, D.C., to Washington itself.",0,0,0,Adds 'unnamed individual' and 'same individual' which are not in source; also conflates 'someone' with 'someone else' and adds 'further action' not implied.
42,16,17,The home was sold to New York in 2023. New York was sold in 2023. New York was sold to the home. New York was sold in 2023. New York sold the home in 2023.,"New York became the owner of the home when the transaction was completed in 2023, and that same year witnessed the transfer of the property to the state.",0,0,1,"The source states 'New York sold the home in 2023' (New York is the seller), but the candidate says 'New York became the owner' and 'transfer of the property to the state' — reversing the roles and adding an unsupported claim that the state received the property."
43,8,5,Shut down your service. Shut down Allo. A company shut down something. Google shut down something in a service. Shut down your service.,"Your service needs to be taken offline, and that includes Allo. The company made the call to discontinue a component of its service, specifically the one tied to Google. You are instructed to shut it down.",0,0,1,"Adds 'specifically the one tied to Google' which is an unsupported claim, and changes 'shut down your service' to 'needs to be taken offline' (modality shift). Also adds 'the company made the call' which is new attribution."
44,8,11,QVC is aggressive to an extent. QVC plans something for Black Friday aggressively. Tell QVC something about Black Friday. QVC's aggressive something. QVC plans something for Black Friday.,"QVC is quite aggressive, and its Black Friday plans are especially so; tell QVC what you think about Black Friday, because QVC has aggressive plans for that day.",0,0,1,"Adds 'quite' and 'especially so' (new degree claims), and 'what you think about Black Friday' (new proposition not in source). Also changes 'tell QVC something' to 'tell QVC what you think' which is a different request."
45,4,21,Order two military helicopters for the UAE. Order two military helicopters. Order two military helicopters. The UAE ordered two military helicopters recently. The UAE ordered two military helicopters from an entity.,"A recent transaction has resulted in the acquisition of two military helicopters by the UAE, with the seller being an unspecified entity.",1,1,1,"All source propositions (UAE acquired two military helicopters, from an entity) are preserved without adding new information. The phrasing is natural and grammatical."
46,2,6,Was it a surprise to be given something? The assignment of the arts and culture position was a surprise to me. The assignment of the arts and culture position surprised me with something. The arts and culture position assignment surprised me. The arts and culture position assignment surprised me with an idea.,"That I was handed the arts and culture role came as a genuine shock. The notion that accompanied this appointment was equally unanticipated, leaving me momentarily at a loss for words.",0,1,1,"Adds new propositions: 'genuine shock' (stronger than surprise), 'leaving me momentarily at a loss for words' (not in source), and 'equally unanticipated' for the notion, which is not stated in the source."
47,2,21,Order two military helicopters for the UAE. Order two military helicopters. Order two military helicopters. The UAE ordered two military helicopters recently. The UAE ordered two military helicopters from an entity.,"A recent transaction has resulted in the acquisition of two military helicopters by the UAE, with the seller being an unspecified entity.",1,1,1,"All source propositions (UAE acquired two military helicopters, from an entity) are preserved without adding new information. The phrasing is natural and grammatical."
48,1,11,QVC is aggressive to an extent. QVC plans something for Black Friday aggressively. Tell QVC something about Black Friday. QVC's aggressive something. QVC plans something for Black Friday.,"QVC is quite aggressive, and its Black Friday plans are especially so; tell QVC what you think about Black Friday, because QVC has aggressive plans for that day.",0,0,1,"Adds 'quite' and 'especially so' (new degree claims), and 'what you think about Black Friday' (new proposition not in source). Also changes 'tell QVC something' to 'tell QVC what you think' which is a different request."
49,2,9,A person missed something. You missed the ICYMI abbreviation's definition. Define ICYMI. Define the abbreviation ICYMI. Define the ICYMI abbreviation now.,The definition of the abbreviation ICYMI is something you have failed to grasp; a person has missed it.,0,0,1,"The source explicitly asks to define ICYMI, but the candidate only states that the definition was missed, without providing the actual definition. It also reverses the roles: source says 'you missed the definition' and 'a person missed something', but candidate says 'the definition is something you have failed to grasp' — this adds a new proposition (that the definition is something graspable) and omits the required definition."
50,16,0,IBM Corporation launched a server. IBM Corporation. The cluster topic is about IBM Corporation. IBM Corporation is related to something. IBM Corporation.,"The launch of a server was undertaken by IBM Corporation, and the topic at hand concerns this very corporation.",0,1,1,Adds 'the topic at hand concerns this very corporation' which is a new proposition not present in the source.
51,1,10,Tell the jury the acquittal. Tell the jury the acquittal. Tell the jury the acquittal. Tell the jury the acquittal of the widow about the nightclub. Tell the jury the acquittal of the widow about the Pulse nightclub.,"The jury must be told that the acquittal happened. It must be told about the widow and the nightclub, specifically the Pulse nightclub. This instruction is repeated, but the core message is the same: inform the jury of the acquittal.",0,1,1,"Adds 'must be told' and 'instruction is repeated' as new propositions, and omits the imperative repetition of 'tell the jury' which is part of the source's meaning."
52,1,20,Aylesbury's new deputy area commander is making himself approachable. Aylesbury's new deputy area commander made approachable. The deputy area commander made himself approachable. The new deputy area commander made himself approachable. The deputy area commander made himself approachable to one Aylesbury.,"Aylesbury has a new deputy area commander, and residents will find him an approachable figure, as he has made a point of being accessible to the public.",0,0,1,"Adds new proposition that residents will find him approachable and that he made a point of being accessible to the public, which is not in the source. Also changes 'made himself approachable' to 'made a point of being accessible' — a different claim."
53,16,7,"Someone gave Washington a presentation. Give someone a presentation. A presentation was given to Washington, D.C. Someone gave Washington a presentation. Give a presentation about Washington, D.C. to Washington.","Someone performed the act of presenting to Washington, D.C. That person also performed a presentation for someone else. And that person gave a presentation whose topic was Washington, D.C., to Washington.",1,1,1,"Preserves all source propositions and roles, no additions or contradictions, and is grammatically coherent, though slightly wordy."
54,8,14,Someone holds WebMD Health Corp. for something. WebMD Health Corp. is important for something. WebMD Health Corp. was held in 2015. WebMD Health Corp. is important for something. WebMD Health Corp. is important for something.,"In 2015, WebMD Health Corp. was already considered important, for reasons that are multiple. Additionally, an unspecified person holds the company responsible for something. The company's importance continues to be recognized in several domains.",0,0,1,"Adds 'responsible' (not in source), and 'importance continues to be recognized' is an unsupported claim. Also 'in 2015' is attached to 'importance' rather than 'held', changing the event's time."
55,2,1,Make the report transparent. The organization earned something. Prasar Bharti earned something at some time. The organization earned something. Prasar Bharti earned only something.,"The report must be made transparent, and it was at some point that Prasar Bharti achieved an earning, though the organization's gain was limited to that alone.",0,0,1,"The source states 'Prasar Bharti earned something' and 'earned only something' (i.e., earned only that thing, not more). The candidate says 'achieved an earning' and 'gain was limited to that alone' — this adds the claim that the earning was a single, specific event ('at some point') and implies a restriction that is not in the source. The source does not say 'only that alone' — it says 'earned only something' meaning the amount was small, not that it was the only earning. Also, the source does not specify 'at some point' as a temporal claim. The candidate introduces new propositions and changes the meaning."
56,4,14,Someone holds WebMD Health Corp. for something. WebMD Health Corp. is important for something. WebMD Health Corp. was held in 2015. WebMD Health Corp. is important for something. WebMD Health Corp. is important for something.,"In 2015, WebMD Health Corp. was already considered important, for reasons that are multiple. Additionally, an unspecified person holds the company responsible for something. The company's importance continues to be recognized in several domains.",0,0,1,"Adds 'responsible' (not in source), and 'importance continues to be recognized' is an unsupported claim. Also 'in 2015' is attached to 'importance' rather than 'held', changing the event's time."
57,4,13,Occasional diarrhea affects someone. Someone experiences Occasional Diarrhea as a condition. Occasional diarrhea is a condition. Tell the doctor about your occasional diarrhea condition to the specialist. Tell the specialist about your occasional diarrhea condition.,"A person may be affected by occasional diarrhea, which is a recognized condition, and in such cases, the appropriate course of action is to inform both the doctor and the specialist about this recurring issue.",1,1,1,"All source propositions are preserved: occasional diarrhea affects a person, it is a condition, and the person should tell both doctor and specialist. No new information added, roles and modality unchanged."
58,1,13,Occasional diarrhea affects someone. Someone experiences Occasional Diarrhea as a condition. Occasional diarrhea is a condition. Tell the doctor about your occasional diarrhea condition to the specialist. Tell the specialist about your occasional diarrhea condition.,"A person may be affected by occasional diarrhea, which is a recognized condition, and in such cases, the appropriate course of action is to inform both the doctor and the specialist about this recurring issue.",1,1,1,"All source propositions are preserved: occasional diarrhea affects a person, it is a condition, and the person should tell both doctor and specialist. No new information added, roles and modality unchanged."
59,8,18,A 2-to-2 ratio of something is defined as a concept. The concept of NASCAR is defined as something. The concept of NASCAR is defined as something at a time. Define a concept as something. The concept of NASCAR is defined as something.,"The definition of a 2-to-2 ratio is a concept. At a particular time, NASCAR is defined as a concept; moreover, NASCAR is defined as something. A separate definition states that a concept is something, and NASCAR is also something.",0,0,1,Adds 'at a particular time' as a separate clause and introduces 'a separate definition' which is not in the source; also changes the order and emphasis of propositions.
60,8,19,Jeff Deardorff has arrived at a location. Jeff Deardorff arrived at a location. Imagine a day arriving. Jeff Deardorff arrived at a location. Jeff Deardorff arrived at a location.,"There is a location where Jeff Deardorff arrived. His arrival happened on a day that one can picture. Jeff Deardorff got to that place, and the arrival is confirmed again.",0,1,1,"Adds 'confirmed again' which introduces a new proposition not in the source, and rephrases 'imagine a day arriving' awkwardly as 'a day that one can picture'."
61,1,17,The home was sold to New York in 2023. New York was sold in 2023. New York was sold to the home. New York was sold in 2023. New York sold the home in 2023.,"New York became the owner of the home when the transaction was completed in 2023, and that same year witnessed the transfer of the property to the state.",0,0,1,"The source states 'New York sold the home in 2023' (New York is the seller), but the candidate says 'New York became the owner' and 'transfer of the property to the state' — reversing the roles and adding an unsupported claim that the state received the property."
62,8,10,Tell the jury the acquittal. Tell the jury the acquittal. Tell the jury the acquittal. Tell the jury the acquittal of the widow about the nightclub. Tell the jury the acquittal of the widow about the Pulse nightclub.,"What needs to be communicated to the jury is the acquittal, and this involves the widow and the Pulse nightclub. The directive is clear: tell them, and tell them again.",0,1,1,"Adds 'what needs to be communicated' and 'directive is clear' as new framing, and drops the explicit repetition of 'tell the jury' which is a key proposition."
