rank,source_index,z_score,source_text,attack_text,quality_1_5,semantic_preserved,major_error,notes
79,201,0.7745966692414834,Weakness in the eurozone economy will cause a decline in imports and exports through North Europe ports this year. Weakness will cause a decline from something this year. You predict a decline. You predict a decline. Weakness will cause a decline in port trade from something.,A decline in imports and exports through North Europe ports this year will be caused by weakness in the eurozone economy. Weakness will cause a decline from something this year. You predict a decline. You predict a decline. Weakness will cause a decline in port trade from something.,,,,
58,159,0.7745966692414834,Saving two parts of food waste reduces costs. The best way to save money on food is to not throw it away. A person reduces waste. Reduce the waste of leftover food from a local restaurant to a supermarket. Tesco reduces something.,"Saving two parts of food waste reduces costs. The best way to save money on food is to not throw it away. A person reduces waste. To reduce the waste of leftover food, a local restaurant should send it to a supermarket. Tesco reduces something.",,,,
40,122,0.8164965809277261,The shooting critically injured a person named Memphis Tenn. Tell Memphis Tenn the topic of Memphis Tenn. Tell the person the topic of the incident to Memphis Tenn. Tell the officer the topic of the incident. The topic of the incident is Memphis Tenn.,"The shooting critically injured a person named Memphis Tenn. Tell Memphis Tenn the topic of Memphis Tenn. Tell the person the topic of the incident to Memphis Tenn. Tell the officer the topic of the incident. The incident's topic is Memphis, Tenn.",,,,
42,128,1.8073922282301278,Make the model the topic of a discussion about Rocky. The model discussed Rocky. Make the model happy. Make the model the topic of a discussion about Rocky. Make the model happy.,The model should be the central topic of a discussion about Rocky. The model discussed Rocky. Make the model happy. The model should be the central topic of a discussion about Rocky. Make the model happy.,,,,
37,105,1.8073922282301278,Make the status active. The state panel heard testimony on missing Indigenous women. Make the status active. The status of missing Indigenous women is active for Helena. The panel heard something.,Make the status active. The state panel heard testimony on missing Indigenous women. Make the status active. Helena's status as a missing Indigenous woman remains active. The panel heard something.,,,,
16,52,1.8073922282301278,Follow the water. Follow the liquid water. Follow the water to the liquid Earth's moon. Follow the liquid water to the Earth's moon. Liquid water on Earth's moon is wet to a certain extent.,"Follow the water. Follow the liquid water. To reach the liquid Earth's moon, follow the water. To find liquid water, one must follow it to Earth's moon. On Earth's moon, liquid water is wet to a certain extent.",,,,
15,45,1.8073922282301278,President Trump's decision to freeze federal employee pay and cut retirement programs met with great consternation from something. The topic of Donald Trump's decision met with great consternation. Ask Donald Trump about the decision. Someone asked Donald Trump about a decision. Ask Donald Trump about the decision.,President Trump's decision to freeze federal employee pay and cut retirement programs met with great consternation from something. Donald Trump's decision provoked widespread consternation. Ask Donald Trump about the decision. Someone asked Donald Trump about a decision. Ask Donald Trump about the decision.,,,,
56,154,1.8073922282301278,"John, aged 40, ran away from home. John ran away from something. John ran away from something at age 40 preceded by running away from home. Be brave. Tell a story about the company to Mary.","John, aged 40, ran away from home. John ran away from something. John ran away from something at age 40 preceded by running away from home. Be brave. To Mary, tell a story about the company.",,,,
85,211,1.8073922282301278,The application requires fingerprints and photos from visa applicants. A person must provide fingerprints to Canada. A person must provide fingerprints to Canada Border Services Agency. Provide your fingerprints. Provide your fingerprints to the application.,Visa applicants must provide both fingerprints and photos for the application. A person must provide fingerprints to Canada. A person must provide fingerprints to Canada Border Services Agency. Provide your fingerprints. Provide your fingerprints to the application.,,,,
78,200,2.3094010767585034,"Curis announced something at a time. Curis, Inc. announced in Lexington. Curis announced development of a targeted therapy for something. Curis, Inc. is relevant to a targeted therapy. Curis announced something today.","Curis announced something at a time. Curis, Inc. announced in Lexington. Curis announced development of a targeted therapy for something. A targeted therapy is relevant to Curis, Inc. Curis announced something today.",,,,
