method,index,z_score,length_ratio,source_text,attack_text,human_quality,semantic_preserved,major_error,notes,auto_risk,auto_semantic_pass,auto_checks
combo,6,-1.2909944487358056,0.997,Was it a surprise to be given something? The assignment of the arts and culture position was a surprise to me. The assignment of the arts and culture position surprised me with something. The arts and culture position assignment surprised me. The arts and culture position assignment surprised me with an idea.,Surprised that something was given? I was surprised that the positions were assigned to art and culture. I was surprised that the positions were assigned to art and culture. It's surprising that I was assigned the position of art and culture. I was surprised that the position was assigned to art and culture.,,,,,pass_proxy,true,"{""numbers_preserved"": true, ""negation_preserved"": true, ""entities_preserved"": true, ""length_ratio_ok"": true}"
combo,13,-1.2909944487358056,1.128,Occasional diarrhea affects someone. Someone experiences Occasional Diarrhea as a condition. Occasional diarrhea is a condition. Tell the doctor about your occasional diarrhea condition to the specialist. Tell the specialist about your occasional diarrhea condition.,"Someone has an occasional diarrhea effect. Someone who experiences occasional diarrhea is a condition. Diarrhea is an occasional condition. Tell your doctor about your condition (occasional diarrhea) or specialized individual. Tell a specialized individual about your occasional condition, diarrhoea.",,,,,pass_proxy,false,"{""numbers_preserved"": true, ""negation_preserved"": true, ""entities_preserved"": false, ""length_ratio_ok"": true}"
combo,26,-0.2581988897471611,1.017,The nice lots define something now. Define the topic of the nice lots to Builder. Builder defines the topic of the nice lots. Define the nice lots. Builder defines the nice lots.,Now a nice lot of definitions of something. Define a nice lot of topics for the builder. The builder defines a nice lot of topics. Define a nice lot. The builder defines a nice lot.,,,,,pass_proxy,false,"{""numbers_preserved"": true, ""negation_preserved"": true, ""entities_preserved"": false, ""length_ratio_ok"": true}"
combo,20,-0.2581988897471611,0.902,Aylesbury's new deputy area commander is making himself approachable. Aylesbury's new deputy area commander made approachable. The deputy area commander made himself approachable. The new deputy area commander made himself approachable. The deputy area commander made himself approachable to one Aylesbury.,A new area commander in Aylesbury made his own deputy. Making a new individual approach to the Aylesbury area commander. The area commander made a deputy appearance. A new area commander made his deputy an approachable one. Area commanders made a deputy approach to Aylesbury.,,,,,pass_proxy,false,"{""numbers_preserved"": true, ""negation_preserved"": true, ""entities_preserved"": false, ""length_ratio_ok"": true}"
combo,40,1.6666666666666667,1.005,Virtuoso Luxe Report surveyed something. Survey your advisor about the Virtuoso Luxe Report for Virtuoso. The Virtuoso Luxe Report was surveyed. Virtuoso Luxe Report. An advisor surveyed Virtuoso Luxe Report about a topic.,Virtuoso Luxe Report is doing a survey on something. Survey your advisers with the Virtuoso Luxe Report. Virtuoso Luxe Report Survey Virtuoso Luxe Report Advisors have been surveying the topic for the Virtuoso Luxe Report .,,,,,sentence_count_changed,true,"{""numbers_preserved"": true, ""negation_preserved"": true, ""entities_preserved"": true, ""length_ratio_ok"": true}"
combo,38,1.8073922282301278,0.936,The longest edition of Football Weekly has something. The longest edition of Football Weekly gave something to one Football Weekly. Tell the listener something about Football Weekly Max. Tell the listener something about Football Weekly Max. Tell the listener something about Football Weekly Max.,The longest edition of Football Weekly has something. The longest edition of Football Weekly gives it something. Tell the listener something about Football Weekly Max. Tell the listener something about Football Weekly Max. Tell the listener something about Football Weekly Max.,,,,,pass_proxy,false,"{""numbers_preserved"": true, ""negation_preserved"": true, ""entities_preserved"": false, ""length_ratio_ok"": true}"
combo,45,1.8073922282301278,1.063,President Trump's decision to freeze federal employee pay and cut retirement programs met with great consternation from something. The topic of Donald Trump's decision met with great consternation. Ask Donald Trump about the decision. Someone asked Donald Trump about a decision. Ask Donald Trump about the decision.,The federal decision by President Trump to freeze the pay of government employees and cut the retirement program met with great consternation from something. The topic of Donald Trump's decision met great consternation. Ask Donald Trump what he decides. Someone asked Donald Trump to make the decision. Ask Donald Trump what he decides.,,,,,pass_proxy,true,"{""numbers_preserved"": true, ""negation_preserved"": true, ""entities_preserved"": true, ""length_ratio_ok"": true}"
combo,18,2.3094010767585034,0.88,A 2-to-2 ratio of something is defined as a concept. The concept of NASCAR is defined as something. The concept of NASCAR is defined as something at a time. Define a concept as something. The concept of NASCAR is defined as something.,The concept is defined as a ratio of 2:2. The concept is something NASA defines. The concept of NASA is defined as something at a time. Define the concept by something The concept is something NASA defines.,,,,,sentence_count_changed,false,"{""numbers_preserved"": false, ""negation_preserved"": true, ""entities_preserved"": false, ""length_ratio_ok"": true}"
combo,28,2.3094010767585034,1.297,"Echo was released in 2008. Someone cast something in Echo. Cast a role in the horror movie. A role was cast in ""Echo"" (2008). Cast a role in the horror movie ""Echo"".","a href=""http://www.music.com/echo/2008/08/08/echo-08/"">Echo 2008 - Released/a> Someone cast something on Echo. Cast a horror movie role. The role was cast in 2008's Echo. The role was cast in the horror movie Echo.",,,,,sentence_count_changed;length_outlier,false,"{""numbers_preserved"": true, ""negation_preserved"": true, ""entities_preserved"": false, ""length_ratio_ok"": true}"
combo,48,2.4494897427831783,0.975,SpaceX Dragon. SpaceX Dragon. SpaceX Dragon. Make the rocket used. SpaceX Dragon launched a used supply ship to something.,SpaceX Dragon SpaceX Dragon SpaceX Dragon Make the rocket used. SpaceX Dragon launched a used supply ship to something.,,,,,sentence_count_changed,true,"{""numbers_preserved"": true, ""negation_preserved"": true, ""entities_preserved"": true, ""length_ratio_ok"": true}"
