序号,原段落索引,类别,原文,攻击文本,z_score,初步事实,初步实体,初步关系,初步否定模态,初步可读性,我的初步结论,人工事实(0/1),人工实体(0/1),人工关系(0/1),人工否定模态(0/1),人工可读性(1-5),人工最终有效(0/1)
19,19,原始/质量感知成功,Jeff Deardorff has arrived at a location. Jeff Deardorff arrived at a location. Imagine a day arriving. Jeff Deardorff arrived at a location. Jeff Deardorff arrived at a location.,"The arrival of Jeff Deardorff at a specific place has occurred; additionally, Jeff Deardorff reached that same location. One might conceive of a day's beginning. Furthermore, Jeff Deardorff completed his arrival at the location, and Jeff Deardorff also showed up at that place.",-1.0,True,True,False,True,False,"ATTACK adds 'specific place' and 'that same location' implying a particular location not in SOURCE; adds 'additionally', 'furthermore', 'also' introducing extra relations; 'completed his arrival' and 'showed up' are vague substitutions for 'arrived'; 'day's beginning' is a vague substitution for 'day arriving'; text is awkward and no longer communicates SOURCE precisely.",,,,,,
20,20,原始/质量感知成功,Aylesbury's new deputy area commander is making himself approachable. Aylesbury's new deputy area commander made approachable. The deputy area commander made himself approachable. The new deputy area commander made himself approachable. The deputy area commander made himself approachable to one Aylesbury.,Aylesbury’s new deputy area commander is ensuring approachability. Aylesbury’s new deputy area commander ensured approachability. The deputy area commander ensured his own approachability. The new deputy area commander ensured his own approachability. The deputy area commander ensured his own approachability to one Aylesbury.,-1.2909944487358056,False,True,False,True,True,"The ATTACK changes the verb from 'made himself approachable' to 'ensured approachability' / 'ensured his own approachability', which alters the explicit action and relation. 'Ensured' implies a different process than 'made', and the phrasing 'ensured his own approachability' is not a precise preservation of 'made himself approachable'. Additionally, the ATTACK omits the exact repetition of the SOURCE's phrasing pattern, introducing a vague substitution.",,,,,,
21,5,自适应补救成功,Shut down your service. Shut down Allo. A company shut down something. Google shut down something in a service. Shut down your service.,Per the audit requirements: shut down your service; shut down Allo. A company performed a shutdown of something. Google performed a shutdown of something within a service. Shut down your service.,2.3094010767585034,True,True,True,True,True,"All explicit facts, entities, relations, polarity, and modality are preserved. No additions, omissions, vague substitutions, or ambiguity.",,,,,,
22,7,自适应补救成功,"Someone gave Washington a presentation. Give someone a presentation. A presentation was given to Washington, D.C. Someone gave Washington a presentation. Give a presentation about Washington, D.C. to Washington.","A presentation was delivered to Washington by an individual. An individual is to be the recipient of a presentation. A presentation was given to Washington, D.C. An individual delivered a presentation to Washington. A presentation concerning Washington, D.C. is to be given to Washington.",2.3094010767585034,False,True,False,True,False,"The ATTACK text introduces 'an individual' as a vague substitution for 'someone' and changes the modality of 'Give someone a presentation' and 'Give a presentation about Washington, D.C. to Washington' from imperative/active to passive or future tense ('is to be'), altering the original precise relations and modality. Additionally, 'delivered' is a synonym but the shift in structure and tense loses the exact phrasing and intent of the SOURCE.",,,,,,
23,17,自适应补救成功,The home was sold to New York in 2023. New York was sold in 2023. New York was sold to the home. New York was sold in 2023. New York sold the home in 2023.,"New York acquired the home in 2023, and New York itself was sold during 2023, with the home also being the recipient of New York’s sale in 2023; furthermore, New York was sold in 2023, and it was New York that sold the home in 2023.",-0.5773502691896258,False,True,False,True,False,"The ATTACK introduces a contradictory and nonsensical relation: 'the home also being the recipient of New York’s sale' implies the home bought New York, which is not in SOURCE. SOURCE states 'New York was sold to the home' (home bought New York) and 'New York sold the home' (New York sold home), which are contradictory, but ATTACK adds an extra, unsupported relation. Also, 'New York acquired the home' is a vague substitution for 'sold to New York' (home sold to New York), altering the direction of the transaction. The text is awkward and no longer communicates the source precisely.",,,,,,
24,20,自适应补救成功,Aylesbury's new deputy area commander is making himself approachable. Aylesbury's new deputy area commander made approachable. The deputy area commander made himself approachable. The new deputy area commander made himself approachable. The deputy area commander made himself approachable to one Aylesbury.,Aylesbury’s new deputy area commander is ensuring approachability. Aylesbury’s new deputy area commander ensured approachability. The deputy area commander ensured his own approachability. The new deputy area commander ensured his own approachability. The deputy area commander ensured his own approachability to one Aylesbury.,-1.2909944487358056,False,True,False,True,True,"The ATTACK changes the verb from 'made himself approachable' to 'ensured approachability' / 'ensured his own approachability', which alters the explicit action and relation. 'Ensured' implies a different process than 'made', and the phrasing 'ensured his own approachability' is not a precise preservation of 'made himself approachable'. Additionally, the ATTACK omits the exact repetition of the SOURCE's phrasing pattern, introducing a vague substitution.",,,,,,
25,36,自适应补救成功,Lynn teaches two employees. Teach two employees. Lynn Blake did not teach two hospital employees. Lynn Blake taught two hospital employees CPR. Lynn Blake.,Lynn instructs two employees. Two employees are instructed. It is not the case that Lynn Blake instructed two hospital employees. Lynn Blake provided CPR instruction to two hospital employees. Lynn Blake.,0.7745966692414834,False,True,False,True,True,"The ATTACK changes 'teaches' to 'instructs' and 'taught' to 'provided CPR instruction to', which are not exact lexical matches and alter the precise wording of the source. The source explicitly states 'Lynn Blake taught two hospital employees CPR', while the ATTACK says 'Lynn Blake provided CPR instruction to two hospital employees', which is a vague substitution and changes the relation structure. Additionally, the source's 'Teach two employees' is omitted in the ATTACK.",,,,,,
26,54,自适应补救成功,Patty Jenkins revealed details about the sequel at an event. Patty Jenkins revealed details about something. Details about Patty Jenkins. Patty Jenkins revealed details about something. Patty Jenkins revealed details about something.,"At an event, details about the sequel were revealed by Patty Jenkins, who also disclosed information about an unspecified matter. Details concerning Patty Jenkins herself emerged, followed by further revelations from Jenkins about one topic and then another.",-0.8164965809277261,待复核,待复核,待复核,待复核,待复核,SSLError,,,,,,
27,60,自适应补救成功,The bill triggered protests against the Citizenship Amendment Bill in Assam. The bill sparked protests against the Citizenship Amendment Bill in Assam. The bill sparked protests against the Citizenship Amendment Bill in Assam. Tell the bill. The bill triggered protests.,"The bill triggered protests against the Citizenship Amendment Bill in Assam; it sparked protests against the same legislation in Assam, and again sparked protests against the Citizenship Amendment Bill in Assam. Direct the bill. The bill triggered protests.",1.6666666666666667,True,True,True,True,False,"The ATTACK text adds 'it sparked protests against the same legislation in Assam' which is a vague substitution ('same legislation' for 'Citizenship Amendment Bill'), and includes 'Direct the bill' which is awkward and does not precisely communicate the source's 'Tell the bill'.",,,,,,
28,64,自适应补救成功,A suspect shot a victim with a gun. A shooting of a victim with a gun occurred. A shooting of a teen victim with a weapon occurred. A shooting of a teen by a suspect with a weapon occurred recently. Shoot the victim.,"A suspect used a gun to shoot a victim. A gun-related shooting of a victim took place. A weapon was used in the shooting of a teen victim. Recently, a suspect used a weapon to shoot a teen. The victim must be shot.",-0.2581988897471611,True,False,True,False,True,"The ATTACK text changes the modality of the final sentence from imperative 'Shoot the victim' to deontic 'The victim must be shot', altering the original command's force and attribution. Additionally, the ATTACK introduces 'gun-related' which is a vague substitution not present in SOURCE, and the entity 'teen' is inconsistently applied across sentences without preserving the exact sequence of facts.",,,,,,
29,72,自适应补救成功,Find your music folder. Google Music found your music folder. Find two times two. Find your music. Something found Google Music something.,Google Music located your music folder. Locate the product of two times two. Find your music. An unspecified entity located Google Music something.,2.3094010767585034,False,False,False,True,False,"'ATTACK' changes 'Find your music folder' to 'Google Music located your music folder' (entity and fact mismatch: SOURCE says 'Google Music found your music folder' as a separate statement, not as the subject of the first command). 'Locate the product of two times two' is a vague substitution for 'Find two times two' (unnecessary rewording). 'An unspecified entity located Google Music something' introduces ambiguity and omits the original 'Something found' structure, failing to preserve entity identity and relation.",,,,,,
30,78,自适应补救成功,Show me a picture of New York City at Christmas. Show me a picture. Show me a picture. A picture about New York City. Show me a picture of New York City at Christmas.,"For a robustness audit: the request is for an image of New York City during Christmas, and that same request is repeated verbatim three additional times, followed by a request for an image about New York City, and then again for an image of New York City at Christmas.",-0.5773502691896258,False,False,False,False,False,ATTACK adds extraneous framing ('For a robustness audit: the request is for...') and meta-commentary not present in SOURCE; omits the exact repeated imperative 'Show me a picture' structure; introduces vague substitutions and changes the modality from direct commands to descriptive narration.,,,,,,
31,87,自适应补救成功,Kid the audience. Kid the audience with something about New York City. The New York City audience is being kidded. The topic is something about New York City. The New York City audience.,"The audience is being kidded with something about New York City. That something is the topic, and it is directed at the New York City audience. The New York City audience is the one being kidded.",1.6666666666666667,True,True,True,True,True,"All explicit facts, entities, relations, polarity, and modality are preserved. No additions, omissions, vague substitutions, or ambiguity. Text is clear and precise.",,,,,,
32,90,自适应补救成功,The Democratic Alliance was voted for at a time. The Democratic Alliance was voted for in 2023. The Democratic Alliance was voted for by someone in 2023. The Democratic Alliance was voted for in a location. The Democratic Alliance's topic is a vote.,"In 2023, a vote occurred for the Democratic Alliance, which was cast at a specific time, by an unspecified individual, and in a particular location, with the alliance's subject matter being that vote itself.",-0.5773502691896258,False,True,False,True,False,The ATTACK adds 'specific time' and 'particular location' which are vague substitutions for the SOURCE's 'at a time' and 'in a location'; it also adds 'cast' and 'subject matter being that vote itself' which are not in the SOURCE; the phrase 'unspecified individual' is a vague substitution for 'by someone'; the text is awkward and no longer communicates the SOURCE precisely.,,,,,,
33,92,自适应补救成功,Rahul Dravid read a book at the stadium. Rahul Dravid read a book at the stadium. Ask your friend about the topic of the book at Rahul Dravid. Ask your friend about the topic of the book. Rahul Dravid was read.,The act of Rahul Dravid reading a book at the stadium occurred. The act of Rahul Dravid reading a book at the stadium occurred. The topic of the book at Rahul Dravid is to be inquired of by your friend. The topic of the book is to be inquired of by your friend. Rahul Dravid was read.,1.8073922282301278,True,True,True,True,True,"All explicit facts, entities, relations, numbers, dates, polarity, modality, and attributions from SOURCE are preserved in ATTACK without addition, omission, vague substitution, ambiguity, or awkwardness.",,,,,,
34,96,自适应补救成功,A Taycheedah crash injured two men and one other entity. Tell the officer about the Taycheedah crash to the hospital. Tell the officer about the victim of the Taycheedah crash to the hospital. The crash injured something. The crash injured something to the hospital.,A two-man and one additional entity were injured in a Taycheedah crash. The officer must be informed about the Taycheedah crash in relation to the hospital. The officer must be informed about the victim of the Taycheedah crash in relation to the hospital. The crash did injure something. The crash did injure something in relation to the hospital.,-0.2581988897471611,False,True,False,True,False,"The ATTACK changes 'Tell the officer about the Taycheedah crash to the hospital' to 'The officer must be informed about the Taycheedah crash in relation to the hospital,' altering the original directive and relation. Also, 'injured something to the hospital' is replaced with 'injured something in relation to the hospital,' which is a vague substitution and changes the intended meaning. The original text is awkward but the ATTACK introduces further ambiguity and relational shifts.",,,,,,
35,105,自适应补救成功,Make the status active. The state panel heard testimony on missing Indigenous women. Make the status active. The status of missing Indigenous women is active for Helena. The panel heard something.,"The status must be set to active. Testimony regarding missing Indigenous women was received by the state panel. The status must be set to active. For Helena, the status of missing Indigenous women is active. Something was heard by the panel.",-0.2581988897471611,True,True,True,True,False,"The ATTACK changes 'Make the status active' to 'The status must be set to active', altering modality from imperative to deontic necessity. Also, 'heard testimony' becomes 'testimony... was received', changing the active/passive voice and slightly altering the relation. The final sentence 'Something was heard by the panel' is awkward and less precise than 'The panel heard something.'",,,,,,
36,120,自适应补救成功,Identify a neutrino event as identifiable. Identify a neutrino event as identifiable. A neutrino event is identifiable by something from a neutrino. Identify a neutrino event by something. The James Webb Space Telescope identified a neutrino event.,The requirement to identify a neutrino event is that it be identifiable. A neutrino event becomes identifiable through something originating from a neutrino. One identifies a neutrino event by means of something. The James Webb Space Telescope did identify a neutrino event.,1.1547005383792517,True,True,False,True,False,"The ATTACK text changes the original's imperative 'Identify' to a declarative 'The requirement...is that it be identifiable', altering the modality and relation. It also adds 'becomes' and 'originating from', which are not in the SOURCE, and the phrasing 'by means of something' is an awkward substitution that does not precisely preserve the original's structure or meaning.",,,,,,
37,129,自适应补救成功,Foxconn Technology is being discussed in talks at this time. Foxconn Technology is related to something. Foxconn Technology is located somewhere. Foxconn Technology is not discussed. Something is discussing Apple Inc. about something.,"Foxconn Technology is currently the subject of ongoing discussions, is associated with an unspecified entity, and is situated in an undisclosed location; however, Foxconn Technology is not itself being discussed. An unidentified party is, instead, in talks with Apple Inc. regarding a separate matter.",-0.8164965809277261,False,False,False,False,False,"Multiple violations: 'currently' added; 'something' replaced with 'unspecified entity' and 'undisclosed location' (vague substitutions); 'Something is discussing Apple Inc. about something' changed to 'An unidentified party is, instead, in talks with Apple Inc. regarding a separate matter' (adds 'instead', 'separate matter', changes participant and relation); polarity of 'Foxconn Technology is not discussed' preserved but context altered; entity ambiguity introduced; source's explicit vagueness ('something') replaced with different vagueness ('unspecified', 'undisclosed', 'unidentified').",,,,,,
38,137,自适应补救成功,Apply to Harvard. Apply to Harvard University in 2024. Apply to Harvard University. Apply to Harvard University. Apply to Harvard University.,"Apply to Harvard University in 2024, and apply to Harvard University, and apply to Harvard University, and apply to Harvard University, and apply to Harvard.",-0.5773502691896258,True,True,True,True,False,"ATTACK adds 'and' conjunctions and changes the final instance from 'Harvard University' to 'Harvard', introducing entity ambiguity and awkward text that does not precisely preserve the source.",,,,,,
39,146,自适应补救成功,Activist shareholders demand something new on Thursday. Activist shareholders demand alignment of Whitehaven Coal with the Paris agreement. Activist shareholders do not demand Whitehaven Coal. Demand alignment of the company strategy with the Paris agreement from Whitehaven Coal. Demand alignment of Whitehaven Coal with the Paris agreement.,"On Thursday, activist shareholders issue a novel demand: they require that Whitehaven Coal’s strategy be brought into alignment with the Paris Agreement. They do not, however, demand the company itself. What they demand is the alignment of Whitehaven Coal with the Paris Agreement, specifically the alignment of the company’s strategy with that accord.",0.3333333333333333,True,True,True,True,True,"All explicit facts, entities, relations, numbers, dates, polarity, and attributions from SOURCE are preserved in ATTACK without addition, omission, vague substitution, or ambiguity. The text is precise and communicates the source accurately.",,,,,,
40,147,自适应补救成功,The accident at SITIAWAN was attributed to something at the time. Tell the committee about the incident at SITIAWAN to the authorities. Sitiawan attributed the incident to something. Tell the committee about the incident. The Sitiawan incident.,"Regarding the SITIAWAN accident, a specific factor was cited as its cause at that time. The committee must be informed by the authorities about what occurred at SITIAWAN. For the incident itself, a cause was assigned by Sitiawan. The committee should receive a briefing on this occurrence. Reference is made to the Sitiawan incident.",1.8073922282301278,False,True,False,True,False,"ATTACK replaces 'something' with 'a specific factor' and 'a cause', adding specificity not in SOURCE; omits 'to the authorities' in second sentence; changes 'Tell the committee about the incident' to 'The committee must be informed by the authorities about what occurred' altering modality and participant relation; 'assigned by Sitiawan' is a vague substitution for 'attributed to something'; 'Reference is made to' is an awkward addition not in SOURCE.",,,,,,
41,8,检测未逃逸,Keep the conversation serious. New England is vast in extent. Something left New England to something. Something left New England. Something left New England to a location.,The maintenance of a serious tone in the conversation is required. The extent of New England is vast. An entity departed from New England toward another entity. An entity exited New England. An entity moved from New England to a specific location.,2.840187787218772,False,False,False,True,False,"ATTACK replaces 'Something' with 'An entity' and 'a location' with 'a specific location', introducing vague substitutions and entity ambiguity not present in SOURCE; also adds 'toward another entity' which is an addition not in SOURCE.",,,,,,
42,24,检测未逃逸,Something defines Mario. Mario defined something. Mario defined something at a location. Something defines Mario. Mario defined something new.,"Mario is defined by something. Something was defined by Mario. At a location, Mario defined something. Mario is defined by something. A new something was defined by Mario.",3.8729833462074166,True,True,True,True,True,"All explicit facts, entities, relations, polarity, and modality are preserved. The attack uses passive voice and reordering but communicates the same precise information without addition, omission, ambiguity, or awkwardness.",,,,,,
43,32,检测未逃逸,Robert E. Gates. Flip passed away. A person passed away something. Flip passed away leaving Cindy Thompson. Cindy Thompson passed away something.,"Robert E. Gates. Flip died. An individual died something. Flip died, thereby leaving Cindy Thompson. Cindy Thompson died something.",3.8729833462074166,False,True,False,True,False,"'Passed away' replaced with 'died' changes modality (euphemistic vs. direct); 'thereby leaving' adds a causal relation not present in source; 'A person' changed to 'An individual' is a vague substitution; 'Cindy Thompson died something' incorrectly attributes death to Cindy Thompson, whereas source states she was left by Flip, not that she died.",,,,,,
44,40,检测未逃逸,Virtuoso Luxe Report surveyed something. Survey your advisor about the Virtuoso Luxe Report for Virtuoso. The Virtuoso Luxe Report was surveyed. Virtuoso Luxe Report. An advisor surveyed Virtuoso Luxe Report about a topic.,"The Virtuoso Luxe Report was the subject of a survey. For Virtuoso, consult your advisor regarding the Virtuoso Luxe Report. A survey of the Virtuoso Luxe Report was conducted. Virtuoso Luxe Report. An advisor conducted a survey of the Virtuoso Luxe Report on a specific topic.",3.8729833462074166,False,True,False,True,False,"The ATTACK text changes the agent and relation: SOURCE says 'Virtuoso Luxe Report surveyed something' (the Report is the surveyor), but ATTACK says 'the Virtuoso Luxe Report was the subject of a survey' (the Report is the subject). Also, 'survey your advisor' becomes 'consult your advisor', and 'surveyed Virtuoso Luxe Report about a topic' becomes 'conducted a survey of the Virtuoso Luxe Report on a specific topic', altering the original ambiguous but precise agent-action-object relations. The text is also awkward and loses the original's exact phrasing and modality.",,,,,,
